epoch,train_loss,val_loss,val_Q8,val_Q3
1,0.4448334471407262,1.9766463935375214,0.23022696094943784,0.5567231506026743
2,0.4204222412610596,1.8143718957901,0.3134199387805914,0.6256340407250643
3,0.4061526097357273,1.7961371451616288,0.31499436137026027,0.6212842406401188
4,0.3974431296810508,1.7137316107749938,0.40653055844403113,0.6448029408749396
5,0.3883790167217905,1.661293053627014,0.4379701909323023,0.6435629305252469
6,0.37638537196273153,1.7154555052518845,0.4125768293814106,0.648566909298613
7,0.36081024691123853,1.655393248796463,0.4485078379394348,0.6626976571615479
8,0.34429442577741365,1.572760820388794,0.5052090198548114,0.6676747853171058
9,0.32539405758407985,1.5547849863767624,0.514074605662063,0.6901267837353603
10,0.30894335376268084,1.5481731414794921,0.5321523943428189,0.6917475846648798
11,0.294468211687424,1.520439550280571,0.5421237374107217,0.7021558605134814
12,0.2824097064069726,1.518277171254158,0.5520364973124973,0.7113436537344328
13,0.27324804722924123,1.5314952433109283,0.5536914717555911,0.7123590952806378
14,0.2652973241426728,1.556991595029831,0.5522390974286872,0.7098912794075289
15,0.25830218877474015,1.557758229970932,0.559003012151125,0.7128692570189956
16,0.25228836615993216,1.5728232353925704,0.5575189052759023,0.7129424859766547
17,0.24739314979788932,1.581485503911972,0.5574944956233493,0.7138895804957113
18,0.24383407771926036,1.5965187489986419,0.5564570853898465,0.7131279993360574
19,0.2416253728284077,1.5980259835720063,0.5582609587135137,0.7132305198767801
20,0.24076977058906446,1.5995619028806687,0.5577654427666877,0.7132598114598436
