epoch,train_loss,val_loss,val_Q8,val_Q3
1,0.429289134727283,1.9315000216166178,0.2666898407886699,0.5809922784166281
2,0.406102201703823,1.7900532364845276,0.33315015553073424,0.6372133799882936
3,0.3977387681829207,1.7578855117162069,0.3605859304111788,0.6437694413417817
4,0.39200880897767615,1.7237709800402323,0.3938646511996442,0.6487254658893112
5,0.38751048775333347,1.7351195573806764,0.38183625949223116,0.6476110632576851
6,0.38355140489610756,1.671998635927836,0.4241835594940203,0.6621443049169182
7,0.37878786038720247,1.659751586119334,0.43703241735912135,0.655833616619935
8,0.37502241112066037,1.696790619691213,0.4162217150043068,0.6532060801398626
9,0.3715285876709403,1.6286757508913676,0.4679979858961612,0.6636906663667662
10,0.3689893998882987,1.5816943645477295,0.4886272144279357,0.6569429073128839
11,0.3663704461897864,1.6383520523707071,0.4697130413223563,0.661500200643593
12,0.3637819843310298,1.5916055242220561,0.48758949087646747,0.6717649735073778
13,0.3615647334266793,1.5842861533164978,0.4898234080783967,0.6723119509458364
14,0.3596833028802366,1.5615378101666768,0.5065547833688188,0.6702237239962069
15,0.35814963484352286,1.6278491377830506,0.474743188980705,0.6629545471972518
16,0.35540414511254337,1.569011358420054,0.5017955684603608,0.6772398598306415
17,0.353451641220035,1.580295773347219,0.4955973428142756,0.66629775509213
18,0.3518003872172399,1.6014053146044414,0.4915359075352532,0.6617302378840664
19,0.3496630026987105,1.533668839931488,0.5233935093714616,0.678827116789907
20,0.3479044676730127,1.547904646396637,0.5117408451568215,0.6776309231394461
